size,processes,time
10000,1,19.484103
10000,1,19.492578
10000,1,19.531506
10000,1,19.496531
10000,1,19.504113
10000,2,9.825863
10000,2,9.798300
10000,2,9.791924
10000,2,9.804608
10000,2,9.807293
10000,3,6.594156
10000,3,6.546907
10000,3,6.556315
10000,3,6.555695
10000,3,6.567324
10000,4,4.944054
10000,4,4.946526
10000,4,4.926911
10000,4,4.972466
10000,4,4.944007
10000,5,3.968421
10000,5,3.972479
10000,5,3.990116
10000,5,3.999941
10000,5,4.001193
10000,6,3.374979
10000,6,3.386648
10000,6,3.367601
10000,6,3.360287
10000,6,3.352629
10000,7,2.921461
10000,7,2.930770
10000,7,2.930852
10000,7,2.904972
10000,7,2.923101
10000,8,2.544177
10000,8,2.516102
10000,8,2.595674
10000,8,2.562447
10000,8,2.583756
20000,1,77.769625
20000,1,77.792585
20000,1,77.802994
20000,1,77.752009
20000,1,77.771835
20000,2,39.027790
20000,2,38.983211
20000,2,39.025059
20000,2,38.990678
20000,2,39.083545
20000,3,26.080140
20000,3,26.078338
20000,3,26.062357
20000,3,26.051160
20000,3,26.031191
20000,4,19.621146
20000,4,19.569254
20000,4,19.593614
20000,4,19.568248
20000,4,19.553487
20000,5,15.728688
20000,5,15.656575
20000,5,15.661387
20000,5,15.689288
20000,5,15.714718
20000,6,13.089518
20000,6,13.122367
20000,6,13.139141
20000,6,13.091685
20000,6,13.110768
20000,7,11.266962
20000,7,11.304251
20000,7,11.236282
20000,7,11.235178
20000,7,11.241509
20000,8,9.880410
20000,8,9.887413
20000,8,9.861767
20000,8,9.864607
20000,8,9.886062
