size,processes,time
10000,1,0.107384
10000,1,0.104790
10000,1,0.105182
10000,1,0.108027
10000,1,0.097473
10000,2,0.078322
10000,2,0.089846
10000,2,0.073990
10000,2,0.069670
10000,2,0.064917
10000,3,0.062255
10000,3,0.068083
10000,3,0.067386
10000,3,0.068040
10000,3,0.058319
10000,4,0.064680
10000,4,0.051474
10000,4,0.052192
10000,4,0.044286
10000,4,0.053016
10000,5,0.036371
10000,5,0.064718
10000,5,0.038446
10000,5,0.067987
10000,5,0.036116
10000,6,0.037324
10000,6,0.041140
10000,6,0.039897
10000,6,0.070350
10000,6,0.033806
10000,7,0.044428
10000,7,0.028833
10000,7,0.035899
10000,7,0.035140
10000,7,0.026884
10000,8,0.045390
10000,8,0.046701
10000,8,0.041935
10000,8,0.041365
10000,8,0.035292
20000,1,0.333897
20000,1,0.340056
20000,1,0.326114
20000,1,0.329116
20000,1,0.349132
20000,2,0.179517
20000,2,0.187821
20000,2,0.176187
20000,2,0.182390
20000,2,0.179740
20000,3,0.147287
20000,3,0.138391
20000,3,0.138861
20000,3,0.137443
20000,3,0.146289
20000,4,0.123222
20000,4,0.113752
20000,4,0.112765
20000,4,0.114763
20000,4,0.109073
20000,5,0.108227
20000,5,0.110078
20000,5,0.092725
20000,5,0.108258
20000,5,0.090865
20000,6,0.089668
20000,6,0.086871
20000,6,0.098729
20000,6,0.082815
20000,6,0.096712
20000,7,0.078424
20000,7,0.073629
20000,7,0.077253
20000,7,0.102977
20000,7,0.078998
20000,8,0.074733
20000,8,0.089266
20000,8,0.086037
20000,8,0.079276
20000,8,0.086335
