size,processes,time
10000,1,0.067761
10000,1,0.084484
10000,1,0.107371
10000,1,0.064461
10000,1,0.070422
10000,2,0.897930
10000,2,1.015481
10000,2,1.076705
10000,2,1.085953
10000,2,0.877422
10000,3,2.688022
10000,3,1.884807
10000,3,2.050579
10000,3,5.183272
10000,3,2.308288
10000,4,1.942224
10000,4,1.909488
10000,4,1.644140
10000,4,2.070531
10000,4,1.723809
10000,5,1.770886
10000,5,1.881369
10000,5,1.745764
10000,5,2.022746
10000,5,2.016514
10000,6,1.955068
10000,6,2.113191
10000,6,3.275422
10000,6,1.818074
10000,6,2.839483
10000,7,2.254534
10000,7,1.832626
10000,7,2.907325
10000,7,1.745957
10000,7,2.362767
10000,8,1.882272
10000,8,1.886728
10000,8,1.918177
10000,8,2.162192
10000,8,1.880006
20000,1,0.224857
20000,1,0.223382
20000,1,0.257924
20000,1,0.205599
20000,1,0.207236
20000,2,3.942103
20000,2,3.756087
20000,2,3.734056
20000,2,4.040003
20000,2,3.737245
20000,3,7.344910
20000,3,7.233669
20000,3,6.564606
20000,3,7.884375
20000,3,7.424036
20000,4,6.981680
20000,4,6.943004
20000,4,6.525717
20000,4,6.711991
20000,4,7.121691
20000,5,6.715061
20000,5,6.824797
20000,5,7.615874
20000,5,6.821464
20000,5,7.406130
20000,6,6.905102
20000,6,7.154420
20000,6,6.543913
20000,6,7.102406
20000,6,7.029898
20000,7,7.603045
20000,7,7.274331
20000,7,7.019735
20000,7,6.405698
20000,7,7.115343
20000,8,6.978920
20000,8,7.093186
20000,8,7.038097
20000,8,6.849689
20000,8,7.349761
