size,processes,time
10000,1,0.067411
10000,1,0.058125
10000,1,0.067019
10000,1,0.041703
10000,1,0.062820
14142,2,0.056817
14142,2,0.054611
14142,2,0.067101
14142,2,0.046562
14142,2,0.070966
17320,3,0.050464
17320,3,0.058845
17320,3,0.075420
17320,3,0.051857
17320,3,0.072755
20000,4,0.079681
20000,4,0.078633
20000,4,0.070577
20000,4,0.074962
20000,4,0.081292
22360,5,0.072952
22360,5,0.114566
22360,5,0.082221
22360,5,0.054791
22360,5,0.058208
24494,6,0.090460
24494,6,0.060894
24494,6,0.075627
24494,6,0.078537
24494,6,0.072814
