size,processes,time
10000,1,0.068886
10000,1,0.147272
10000,1,0.222977
10000,1,0.073487
10000,1,0.057441
14142,2,1.877998
14142,2,1.863727
14142,2,1.783526
14142,2,1.838341
14142,2,1.992471
17320,3,6.603682
17320,3,6.996427
17320,3,5.526725
17320,3,5.616383
17320,3,5.580753
20000,4,7.184435
20000,4,7.644653
20000,4,6.825394
20000,4,7.043787
20000,4,7.350656
22360,5,9.239108
22360,5,8.865852
22360,5,9.431151
22360,5,8.963374
22360,5,9.403975
24494,6,10.539072
24494,6,11.198872
24494,6,10.652082
24494,6,10.083026
24494,6,10.302143
