size,threads,time
9999,1,303.313253
9999,1,304.109194
9999,1,304.014889
9999,1,303.421690
9999,1,303.827044
9999,2,152.908647
9999,2,152.675432
9999,2,152.564892
9999,2,152.798431
9999,2,152.749728
9999,4,77.185098
9999,4,77.569014
9999,4,77.730474
9999,4,77.695490
9999,4,77.646421
9999,8,41.139844
9999,8,41.312165
9999,8,41.308618
9999,8,41.524313
9999,8,41.446955
9999,16,23.555260
9999,16,23.602906
9999,16,23.473832
9999,16,23.579280
9999,16,23.560487
9999,32,16.238205
9999,32,16.270507
9999,32,16.238810
9999,32,16.243007
9999,32,16.218076
9999,64,16.586960
9999,64,16.654218
9999,64,16.463656
9999,64,16.593738
9999,64,16.531357
10000,1,321.839199
10000,1,321.874840
10000,1,321.920955
10000,1,321.854243
10000,1,321.785591
10000,2,162.066867
10000,2,162.579575
10000,2,162.421109
10000,2,162.521919
10000,2,162.526537
10000,4,82.183795
10000,4,82.081337
10000,4,82.129908
10000,4,82.133617
10000,4,82.143866
10000,8,42.556194
10000,8,42.679003
10000,8,42.716641
10000,8,42.750311
10000,8,42.798119
10000,16,22.950847
10000,16,22.889247
10000,16,22.896316
10000,16,23.035821
10000,16,22.991118
10000,32,14.241938
10000,32,14.250523
10000,32,14.231911
10000,32,14.269888
10000,32,14.260572
10000,64,11.407099
10000,64,11.378666
10000,64,11.362094
10000,64,11.479928
10000,64,11.375466
19999,1,1203.170351
19999,1,1202.923791
19999,1,1202.774181
19999,1,1202.963732
19999,1,1203.027668
19999,2,603.726142
19999,2,603.490040
19999,2,603.518009
19999,2,603.580756
19999,2,603.571419
19999,4,304.090829
19999,4,304.157216
19999,4,304.143252
19999,4,304.164462
19999,4,304.208777
19999,8,158.742684
19999,8,158.970537
19999,8,158.952905
19999,8,159.132128
19999,8,159.554634
19999,16,84.925379
19999,16,84.775790
19999,16,85.005440
19999,16,84.805600
19999,16,84.912473
19999,32,52.303207
19999,32,51.988346
19999,32,52.117558
19999,32,52.203354
19999,32,52.032342
19999,64,44.898328
19999,64,44.357230
19999,64,45.058428
19999,64,44.373806
19999,64,44.723964
20000,1,1286.794764
20000,1,1286.936767
20000,1,1286.538446
20000,1,1286.501697
20000,1,1286.445825
20000,2,644.722909
20000,2,649.641674
20000,2,649.108480
20000,2,647.254254
20000,2,646.250721
20000,2,646.350539
20000,4,326.597816
20000,4,326.980242
20000,4,327.082236
20000,4,326.856172
20000,4,326.959740
20000,8,167.454775
20000,8,167.926144
20000,8,167.054035
20000,8,166.924728
20000,8,166.892506
20000,16,87.118953
20000,16,87.149242
20000,16,86.590929
20000,16,86.417560
20000,16,86.627444
20000,32,48.965667
20000,32,48.890550
20000,32,48.732882
20000,32,48.919297
20000,32,48.790525
20000,64,35.906432
20000,64,36.044899
20000,64,36.365420
20000,64,36.053151
20000,64,35.833172
