size,threads,time
10000,1,321.839199
10000,1,321.874840
10000,1,321.920955
10000,1,321.854243
10000,1,321.785591
10000,2,162.066867
10000,2,162.579575
10000,2,162.421109
10000,2,162.521919
10000,2,162.526537
10000,4,82.183795
10000,4,82.081337
10000,4,82.129908
10000,4,82.133617
10000,4,82.143866
10000,8,42.556194
10000,8,42.679003
10000,8,42.716641
10000,8,42.750311
10000,8,42.798119
10000,16,22.950847
10000,16,22.889247
10000,16,22.896316
10000,16,23.035821
10000,16,22.991118
10000,32,14.241938
10000,32,14.250523
10000,32,14.231911
10000,32,14.269888
10000,32,14.260572
10000,64,11.407099
10000,64,11.378666
10000,64,11.362094
10000,64,11.479928
10000,64,11.375466
10000,128,216.060469
10000,128,214.846238
10000,128,200.929029
10000,128,200.769544
10000,128,216.679560
