size,threads,time
19999,2,603.726142
19999,2,603.490040
19999,2,603.518009
19999,2,603.580756
19999,2,603.571419
19999,4,304.090829
19999,4,304.157216
19999,4,304.143252
19999,4,304.164462
19999,4,304.208777
19999,8,158.742684
19999,8,158.970537
19999,8,158.952905
19999,8,159.132128
19999,8,159.554634
19999,16,84.925379
19999,16,84.775790
19999,16,85.005440
19999,16,84.805600
19999,16,84.912473
19999,32,52.303207
19999,32,51.988346
19999,32,52.117558
19999,32,52.203354
19999,32,52.032342
19999,64,44.898328
19999,64,44.357230
19999,64,45.058428
19999,64,44.373806
19999,64,44.723964
