size,threads,time
20000,2,649.641674
20000,2,649.108480
20000,2,647.254254
20000,2,646.250721
20000,2,646.350539
20000,4,326.597816
20000,4,326.980242
20000,4,327.082236
20000,4,326.856172
20000,4,326.959740
20000,8,167.454775
20000,8,167.926144
20000,8,167.054035
20000,8,166.924728
20000,8,166.892506
20000,16,87.118953
20000,16,87.149242
20000,16,86.590929
20000,16,86.417560
20000,16,86.627444
20000,32,48.965667
20000,32,48.890550
20000,32,48.732882
20000,32,48.919297
20000,32,48.790525
20000,64,35.906432
20000,64,36.044899
20000,64,36.365420
20000,64,36.053151
20000,64,35.833172
20000,128,437.695624
