size,threads,time
9999,1,303.313253
9999,1,304.109194
9999,1,304.014889
9999,1,303.421690
9999,1,303.827044
9999,2,152.908647
9999,2,152.675432
9999,2,152.564892
9999,2,152.798431
9999,2,152.749728
9999,4,77.185098
9999,4,77.569014
9999,4,77.730474
9999,4,77.695490
9999,4,77.646421
9999,8,41.139844
9999,8,41.312165
9999,8,41.308618
9999,8,41.524313
9999,8,41.446955
9999,16,23.555260
9999,16,23.602906
9999,16,23.473832
9999,16,23.579280
9999,16,23.560487
9999,32,16.238205
9999,32,16.270507
9999,32,16.238810
9999,32,16.243007
9999,32,16.218076
9999,64,16.586960
9999,64,16.654218
9999,64,16.463656
9999,64,16.593738
9999,64,16.531357
9999,128,418.770908
9999,128,421.570255
9999,128,396.877968
9999,128,418.113246
9999,128,396.932895
