size,processes,time
10000,1,309.360385
10000,1,309.356971
10000,1,309.317337
10000,1,309.349526
10000,1,309.316768
10000,2,351.896438
10000,2,351.979772
10000,2,351.915877
10000,2,351.939342
10000,2,351.970334
10000,4,393.474574
10000,4,393.469525
10000,4,393.402448
10000,4,393.412416
10000,4,393.381389
10000,8,515.513235
10000,8,515.469023
10000,8,515.460499
10000,8,515.389008
10000,8,515.474697
10000,16,491.099029
10000,16,491.102689
10000,16,491.030901
10000,16,491.040411
10000,16,491.038867
