size,processes,time
10000,1,310.892160
10000,1,310.393378
10000,1,310.338466
10000,1,310.323326
10000,1,310.326606
10000,2,310.800010
10000,2,310.898193
10000,2,310.915129
10000,2,310.860964
10000,2,310.858724
10000,4,311.062800
10000,4,310.882795
10000,4,310.943249
10000,4,310.905025
10000,4,310.898597
10000,8,312.922602
10000,8,313.280640
10000,8,313.120271
10000,8,313.181987
10000,8,313.305794
10000,16,312.767050
10000,16,312.820460
10000,16,312.849635
10000,16,312.863081
10000,16,312.910389

