size,threads,time
10000,1,77.684671
10000,1,77.816483
10000,1,77.844269
10000,1,77.849604
10000,1,77.824747
10000,2,38.880071
10000,2,38.881926
10000,2,38.857855
10000,2,38.860954
10000,2,38.851540
10000,4,19.451866
10000,4,19.426683
10000,4,19.441547
10000,4,19.437898
10000,4,19.445914
10000,8,9.894906
10000,8,9.858989
10000,8,9.872710
10000,8,9.875497
10000,8,9.842065
10000,12,6.539048
10000,12,6.545096
10000,12,6.556704
10000,12,6.547234
10000,12,6.544234
10000,16,4.941849
10000,16,4.935101
10000,16,4.927857
10000,16,4.937781
10000,16,4.928632
10000,20,3.941587
10000,20,3.945518
10000,20,3.944280
10000,20,3.939672
10000,20,3.935660
10000,24,3.309969
10000,24,3.313995
10000,24,3.338581
10000,24,3.348589
10000,24,3.318934
10000,28,2.854848
10000,28,2.858405
10000,28,2.853162
10000,28,2.856874
10000,28,2.852503
10000,32,2.510634
10000,32,2.509842
10000,32,2.508953
10000,32,2.542928
10000,32,2.507200
10000,36,2.234999
10000,36,2.231599
10000,36,2.232387
10000,36,2.233656
10000,36,2.241607
10000,40,2.013359
10000,40,2.014402
10000,40,2.020012
10000,40,2.014258
10000,40,2.012110
10000,44,1.852991
10000,44,1.864136
10000,44,1.834855
10000,44,1.827099
10000,44,1.832143
10000,48,1.704700
10000,48,1.702091
10000,48,1.709206
10000,48,1.704429
10000,48,1.706441
10000,52,1.579552
10000,52,1.579599
10000,52,1.578370
10000,52,1.581534
10000,52,1.580437
10000,56,1.462910
10000,56,1.465170
10000,56,1.460310
10000,56,1.461662
10000,56,1.461917
10000,60,1.365863
10000,60,1.369177
10000,60,1.365014
10000,60,1.362985
10000,60,1.365469
10000,64,1.302806
10000,64,1.295695
10000,64,1.310063
10000,64,1.319790
10000,64,1.311081
20000,1,310.729747
20000,1,310.535819
20000,1,310.560204
20000,1,310.853746
20000,1,310.724393
20000,2,155.144921
20000,2,155.157128
20000,2,155.195897
20000,2,155.258307
20000,2,155.149139
20000,4,77.515117
20000,4,77.539439
20000,4,77.517889
20000,4,77.527094
20000,4,77.527237
20000,8,39.166493
20000,8,39.157089
20000,8,39.091250
20000,8,39.102345
20000,8,39.190015
20000,12,25.992002
20000,12,25.965636
20000,12,25.974406
20000,12,25.962586
20000,12,25.956479
20000,16,19.522358
20000,16,19.509320
20000,16,19.555475
20000,16,19.497799
20000,16,19.552024
20000,20,15.616626
20000,20,15.614353
20000,20,15.645362
20000,20,15.607433
20000,20,15.603178
20000,24,13.071786
20000,24,13.113495
20000,24,13.065179
20000,24,13.058315
20000,24,13.088642
20000,28,11.208518
20000,28,11.221802
20000,28,11.237187
20000,28,11.246761
20000,28,11.275092
20000,32,9.886083
20000,32,9.899783
20000,32,9.927693
20000,32,9.947935
20000,32,9.953336
20000,36,8.817771
20000,36,8.799047
20000,36,8.787142
20000,36,8.808572
20000,36,8.776115
20000,40,7.905993
20000,40,7.909694
20000,40,7.904381
20000,40,7.909489
20000,40,7.932871
20000,44,7.213093
20000,44,7.212451
20000,44,7.232271
20000,44,7.228689
20000,44,7.229562
20000,48,6.688442
20000,48,6.667327
20000,48,6.675468
20000,48,6.685771
20000,48,6.683061
20000,52,6.175486
20000,52,6.207805
20000,52,6.188584
20000,52,6.215618
20000,52,6.187743
20000,56,5.737979
20000,56,5.738982
20000,56,5.747614
20000,56,5.765792
20000,56,5.762590
20000,60,5.404718
20000,60,5.371120
20000,60,5.379971
20000,60,5.383815
20000,60,5.417972
20000,64,5.101643
20000,64,5.120398
20000,64,5.101622
20000,64,5.119469
20000,64,5.104868
