size,processes,time
10000,1,19.496422
10000,1,19.496545
10000,1,19.562531
10000,1,19.638319
10000,1,19.688943
10000,2,9.840433
10000,2,9.868479
10000,2,9.809413
10000,2,9.810783
10000,2,9.833525
10000,3,6.551275
10000,3,6.553870
10000,3,6.557873
10000,3,6.553643
10000,3,6.557042
10000,4,4.962617
10000,4,4.934988
10000,4,4.933527
10000,4,4.935770
10000,4,4.933650
10000,5,3.943412
10000,5,3.932599
10000,5,3.930939
10000,5,3.959076
10000,5,3.930995
10000,6,3.315072
10000,6,3.311141
10000,6,3.315302
10000,6,3.322718
10000,6,3.322939
10000,7,2.847496
10000,7,2.848185
10000,7,2.850744
10000,7,2.876893
10000,7,2.851438
10000,8,2.541264
10000,8,2.544205
10000,8,2.507301
10000,8,2.506996
10000,8,2.505770
10000,10,2.015728
10000,10,2.025529
10000,10,2.010812
10000,10,2.015645
10000,10,2.031263
10000,12,1.709973
10000,12,1.704528
10000,12,1.751472
10000,12,1.708364
10000,12,1.718860
10000,14,1.462296
10000,14,1.530184
10000,14,1.462663
10000,14,1.504368
10000,14,1.457628
10000,16,1.881324
10000,16,1.877042
10000,16,1.322676
10000,16,1.725906
10000,16,1.312864
20000,1,77.882222
20000,1,78.161076
20000,1,79.114492
20000,1,78.912854
20000,1,78.467031
20000,2,39.095093
20000,2,39.092072
20000,2,39.103251
20000,2,39.106239
20000,2,39.141679
20000,3,25.988349
20000,3,25.991339
20000,3,25.981316
20000,3,26.026755
20000,3,25.983274
20000,4,19.563882
20000,4,19.588573
20000,4,19.650966
20000,4,19.685214
20000,4,19.717493
20000,5,15.731867
20000,5,15.728480
20000,5,15.773185
20000,5,15.754834
20000,5,15.764059
20000,6,13.155449
20000,6,13.174359
20000,6,13.207664
20000,6,13.226420
20000,6,13.292385
20000,7,11.405090
20000,7,11.440995
20000,7,11.415880
20000,7,11.441202
20000,7,11.432854
20000,8,10.038457
20000,8,10.026346
20000,8,10.098313
20000,8,10.085815
20000,8,10.096218
20000,10,8.048232
20000,10,8.079079
20000,10,8.071943
20000,10,8.067969
20000,10,8.053204
20000,12,6.807117
20000,12,6.810839
20000,12,6.766090
20000,12,6.801915
20000,12,6.779802
20000,14,5.834195
20000,14,5.822178
20000,14,5.817274
20000,14,5.838443
20000,14,5.818529
20000,16,5.285263
20000,16,5.424560
20000,16,5.671236
20000,16,5.597710
20000,16,5.387377
