size,processes,time
10000,1,19.496422
10000,1,19.496545
10000,1,19.562531
10000,1,19.638319
10000,1,19.688943
10000,2,9.840433
10000,2,9.868479
10000,2,9.809413
10000,2,9.810783
10000,2,9.833525
10000,3,6.551275
10000,3,6.553870
10000,3,6.557873
10000,3,6.553643
10000,3,6.557042
10000,4,4.962617
10000,4,4.934988
10000,4,4.933527
10000,4,4.935770
10000,4,4.933650
10000,5,3.943412
10000,5,3.932599
10000,5,3.930939
10000,5,3.959076
10000,5,3.930995
10000,6,3.315072
10000,6,3.311141
10000,6,3.315302
10000,6,3.322718
10000,6,3.322939
10000,7,2.847496
10000,7,2.848185
10000,7,2.850744
10000,7,2.876893
10000,7,2.851438
10000,8,2.541264
10000,8,2.544205
10000,8,2.507301
10000,8,2.506996
10000,8,2.505770
10000,10,2.015728
10000,10,2.025529
10000,10,2.010812
10000,10,2.015645
10000,10,2.031263
10000,12,1.709973
10000,12,1.704528
10000,12,1.751472
10000,12,1.708364
10000,12,1.718860
10000,14,1.462296
10000,14,1.530184
10000,14,1.462663
10000,14,1.504368
10000,14,1.457628
10000,16,1.881324
10000,16,1.877042
10000,16,1.322676
10000,16,1.725906
10000,16,1.312864
