size,processes,time
20000,1,78.498787
20000,1,77.997092
20000,1,78.413129
20000,1,78.964163
20000,1,78.839154
20000,2,38.829098
20000,2,38.839407
20000,2,38.855668
20000,2,38.843878
20000,2,38.793147
20000,3,25.878175
20000,3,25.851326
20000,3,25.865029
20000,3,25.845194
20000,3,25.868664
20000,4,19.473577
20000,4,19.418622
20000,4,19.454464
20000,4,19.430313
20000,4,19.429518
20000,5,15.577344
20000,5,15.542193
20000,5,15.535057
20000,5,15.565690
20000,5,15.540939
20000,6,13.000912
20000,6,13.025361
20000,6,13.001973
20000,6,12.984244
20000,6,13.002032
20000,7,11.173284
20000,7,11.154311
20000,7,11.144801
20000,7,11.147648
20000,7,11.142107
20000,8,9.808805
20000,8,9.816134
20000,8,9.808956
20000,8,9.806408
20000,8,9.815639
20000,10,7.877871
20000,10,7.871769
20000,10,7.913666
20000,10,7.892008
20000,10,7.887168
20000,12,6.632343
20000,12,6.613792
20000,12,6.600935
20000,12,6.609539
20000,12,6.611252
20000,14,5.701634
20000,14,5.671626
20000,14,5.678700
20000,14,5.667820
20000,14,5.671740
20000,16,5.005346
20000,16,5.011183
20000,16,4.998765
20000,16,5.030958
20000,16,5.003248
