size,processes,time
10000,1,19.623390
10000,1,19.687010
10000,1,19.568537
10000,1,19.510151
10000,1,19.536798
10000,2,9.746557
10000,2,9.752012
10000,2,9.737420
10000,2,9.774459
10000,2,9.738408
10000,3,6.488876
10000,3,6.483575
10000,3,6.485223
10000,3,6.480400
10000,3,6.498232
10000,4,4.877130
10000,4,4.872813
10000,4,4.873500
10000,4,4.875877
10000,4,4.877216
10000,5,3.879279
10000,5,3.881679
10000,5,3.884144
10000,5,3.886442
10000,5,3.877763
10000,6,3.278817
10000,6,3.279607
10000,6,3.276179
10000,6,3.277500
10000,6,3.273173
10000,7,2.823121
10000,7,2.819816
10000,7,2.832901
10000,7,2.822633
10000,7,2.815692
10000,8,2.471737
10000,8,2.475774
10000,8,2.487334
10000,8,2.467242
10000,8,2.475730
10000,10,2.012272
10000,10,2.029319
10000,10,2.012209
10000,10,2.027797
10000,10,2.033139
10000,12,1.714118
10000,12,1.699053
10000,12,1.716014
10000,12,1.704732
10000,12,1.710950
10000,14,1.455489
10000,14,1.452525
10000,14,1.450586
10000,14,1.458932
10000,14,1.454494
10000,16,1.292418
10000,16,1.294115
10000,16,1.296112
10000,16,1.307747
10000,16,1.292902
20000,1,78.498787
20000,1,77.997092
20000,1,78.413129
20000,1,78.964163
20000,1,78.839154
20000,2,38.829098
20000,2,38.839407
20000,2,38.855668
20000,2,38.843878
20000,2,38.793147
20000,3,25.878175
20000,3,25.851326
20000,3,25.865029
20000,3,25.845194
20000,3,25.868664
20000,4,19.473577
20000,4,19.418622
20000,4,19.454464
20000,4,19.430313
20000,4,19.429518
20000,5,15.577344
20000,5,15.542193
20000,5,15.535057
20000,5,15.565690
20000,5,15.540939
20000,6,13.000912
20000,6,13.025361
20000,6,13.001973
20000,6,12.984244
20000,6,13.002032
20000,7,11.173284
20000,7,11.154311
20000,7,11.144801
20000,7,11.147648
20000,7,11.142107
20000,8,9.808805
20000,8,9.816134
20000,8,9.808956
20000,8,9.806408
20000,8,9.815639
20000,10,7.877871
20000,10,7.871769
20000,10,7.913666
20000,10,7.892008
20000,10,7.887168
20000,12,6.632343
20000,12,6.613792
20000,12,6.600935
20000,12,6.609539
20000,12,6.611252
20000,14,5.701634
20000,14,5.671626
20000,14,5.678700
20000,14,5.667820
20000,14,5.671740
20000,16,5.005346
20000,16,5.011183
20000,16,4.998765
20000,16,5.030958
20000,16,5.003248
