size,processes,time
10000,1,4.906292
10000,1,4.903821
10000,1,4.933269
10000,1,4.902550
10000,1,4.905148
14142,2,4.908418
14142,2,4.933104
14142,2,4.908690
14142,2,4.897066
14142,2,4.909147
17320,3,4.956882
17320,3,5.030421
17320,3,4.965324
17320,3,4.965306
17320,3,5.005049
20000,4,4.993916
20000,4,5.020205
20000,4,5.028380
20000,4,5.063837
20000,4,5.010337
22360,5,4.972343
22360,5,4.990822
22360,5,5.010859
22360,5,4.986148
22360,5,4.999102
24494,6,5.058464
24494,6,5.018805
24494,6,5.047614
24494,6,5.036005
24494,6,5.035546
