size,threads,time
10000,1,0.332685
10000,1,0.309637
10000,1,0.307987
10000,1,0.302777
10000,1,0.302951
10000,2,0.183494
10000,2,0.191787
10000,2,0.182514
10000,2,0.182932
10000,2,0.187850
10000,4,0.118308
10000,4,0.118286
10000,4,0.118712
10000,4,0.110167
10000,4,0.123325
10000,8,0.082718
10000,8,0.092107
10000,8,0.092589
10000,8,0.083976
10000,8,0.085562
10000,12,0.066773
10000,12,0.056570
10000,12,0.064052
10000,12,0.071440
10000,12,0.065645
10000,16,0.050385
10000,16,0.052448
10000,16,0.053289
10000,16,0.053690
10000,16,0.054160
10000,20,0.045699
10000,20,0.044367
10000,20,0.047677
10000,20,0.044836
10000,20,0.038352
10000,24,0.040204
10000,24,0.038261
10000,24,0.042732
10000,24,0.039361
10000,24,0.041153
10000,28,0.044904
10000,28,0.037082
10000,28,0.035496
10000,28,0.047365
10000,28,0.046051
10000,32,0.042220
10000,32,0.036901
10000,32,0.036164
10000,32,0.034263
10000,32,0.040294
10000,36,0.038408
10000,36,0.040296
10000,36,0.025751
10000,36,0.042273
10000,36,0.034451
10000,40,0.032064
10000,40,0.031762
10000,40,0.032136
10000,40,0.032195
10000,40,0.030542
10000,44,0.028954
10000,44,0.028513
10000,44,0.038401
10000,44,0.031215
10000,44,0.026501
10000,48,0.028049
10000,48,0.028711
10000,48,0.028291
10000,48,0.030027
10000,48,0.032071
10000,52,0.021124
10000,52,0.029485
10000,52,0.027342
10000,52,0.032265
10000,52,0.027565
10000,56,0.026014
10000,56,0.026910
10000,56,0.030732
10000,56,0.026823
10000,56,0.028539
10000,60,0.028919
10000,60,0.030480
10000,60,0.029617
10000,60,0.027270
10000,60,0.031928
10000,64,0.019311
10000,64,0.036321
10000,64,0.026913
10000,64,0.025927
10000,64,0.033176
20000,1,1.195674
20000,1,1.182472
20000,1,1.175163
20000,1,1.176027
20000,1,1.185029
20000,2,0.609965
20000,2,0.622105
20000,2,0.619699
20000,2,0.611840
20000,2,0.620130
20000,4,0.330009
20000,4,0.331651
20000,4,0.334951
20000,4,0.340522
20000,4,0.327869
20000,8,0.189916
20000,8,0.189724
20000,8,0.180660
20000,8,0.190168
20000,8,0.184927
20000,12,0.134816
20000,12,0.138658
20000,12,0.128665
20000,12,0.136509
20000,12,0.131759
20000,16,0.109448
20000,16,0.109446
20000,16,0.110600
20000,16,0.115235
20000,16,0.113569
20000,20,0.101804
20000,20,0.093940
20000,20,0.093925
20000,20,0.093615
20000,20,0.102965
20000,24,0.091530
20000,24,0.090201
20000,24,0.089551
20000,24,0.093398
20000,24,0.091844
20000,28,0.079954
20000,28,0.082204
20000,28,0.070475
20000,28,0.096132
20000,28,0.079272
20000,32,0.087887
20000,32,0.083222
20000,32,0.084224
20000,32,0.080972
20000,32,0.080990
20000,36,0.076428
20000,36,0.061119
20000,36,0.079530
20000,36,0.061235
20000,36,0.060966
20000,40,0.068813
20000,40,0.065228
20000,40,0.064906
20000,40,0.064823
20000,40,0.064970
20000,44,0.065258
20000,44,0.061349
20000,44,0.062137
20000,44,0.060272
20000,44,0.060443
20000,48,0.058660
20000,48,0.061756
20000,48,0.061414
20000,48,0.062776
20000,48,0.060265
20000,52,0.053940
20000,52,0.054407
20000,52,0.055444
20000,52,0.054569
20000,52,0.056630
20000,56,0.059550
20000,56,0.051973
20000,56,0.052906
20000,56,0.052908
20000,56,0.058150
20000,60,0.051096
20000,60,0.053782
20000,60,0.053794
20000,60,0.055123
20000,60,0.056531
20000,64,0.057606
20000,64,0.060444
20000,64,0.050833
20000,64,0.053576
20000,64,0.051836
