size,threads,time
20000,1,6.774876
20000,1,6.621588
20000,1,7.287563
20000,1,7.124827
20000,1,6.862218
20000,2,6.915645
20000,2,6.665124
20000,2,6.845732
20000,2,7.094684
20000,2,6.403777
20000,4,6.717000
20000,4,7.089380
20000,4,6.899675
20000,4,6.982567
20000,4,7.661602
20000,8,7.160990
20000,8,6.474612
20000,8,7.522204
20000,8,7.191506
20000,8,6.496893
20000,12,6.996402
20000,12,7.893962
20000,12,9.053229
20000,12,6.285823
20000,12,6.850596
20000,16,6.509004
20000,16,7.228972
20000,16,7.079059
20000,16,7.003937
20000,16,7.113841
20000,20,6.746300
20000,20,6.871632
20000,20,6.865570
20000,20,7.258704
20000,20,6.586282
20000,24,6.575989
20000,24,6.701185
20000,24,7.074894
20000,24,6.957842
20000,24,7.036795
20000,28,7.246636
20000,28,7.182542
20000,28,7.399624
20000,28,7.190339
20000,28,6.997519
20000,32,6.723628
20000,32,6.972600
20000,32,6.882444
20000,32,6.982628
20000,32,6.899036
20000,36,7.233794
20000,36,7.099882
20000,36,7.197021
20000,36,6.987786
20000,36,8.250450
20000,40,6.894209
20000,40,7.593183
20000,40,6.961852
20000,40,7.127427
20000,40,7.768332
20000,44,7.359703
20000,44,7.733489
20000,44,7.040543
20000,44,6.987340
20000,44,7.014414
20000,48,7.188066
20000,48,6.728307
20000,48,6.743507
20000,48,7.166550
20000,48,6.812456
20000,52,7.028831
20000,52,7.952077
20000,52,7.115632
20000,52,7.651852
20000,52,7.561262
20000,56,7.032759
20000,56,6.623496
20000,56,6.435080
20000,56,6.930393
20000,56,6.965882
20000,60,7.284650
20000,60,6.975477
20000,60,7.070346
20000,60,7.486761
20000,60,6.554422
20000,64,7.320935
20000,64,7.173652
20000,64,6.994375
20000,64,7.760686
20000,64,7.506045
