size,threads,time
10000,1,1.871544
10000,1,1.842080
10000,1,1.840239
10000,1,1.825835
10000,1,2.130772
10000,2,1.971216
10000,2,1.974694
10000,2,1.835475
10000,2,1.778298
10000,2,1.924118
10000,4,1.687010
10000,4,1.869546
10000,4,1.757962
10000,4,1.787092
10000,4,1.831303
10000,8,2.041124
10000,8,1.683871
10000,8,1.590543
10000,8,1.760428
10000,8,1.798134
10000,12,1.647559
10000,12,1.964514
10000,12,2.005258
10000,12,1.623197
10000,12,2.007082
10000,16,1.804870
10000,16,1.702620
10000,16,1.720427
10000,16,2.130090
10000,16,1.709209
10000,20,1.734427
10000,20,1.919591
10000,20,1.788286
10000,20,1.867587
10000,20,1.767569
10000,24,1.521683
10000,24,1.839080
10000,24,2.136641
10000,24,1.635966
10000,24,1.948503
10000,28,1.590182
10000,28,1.675987
10000,28,1.694301
10000,28,2.430178
10000,28,1.873184
10000,32,2.039092
10000,32,1.845526
10000,32,2.029408
10000,32,1.846779
10000,32,1.962543
10000,36,1.905829
10000,36,1.837287
10000,36,1.865645
10000,36,1.669112
10000,36,1.939494
10000,40,1.941167
10000,40,1.813658
10000,40,1.762632
10000,40,1.726725
10000,40,2.119547
10000,44,1.805518
10000,44,1.884787
10000,44,1.952983
10000,44,1.858862
10000,44,1.900284
10000,48,1.785966
10000,48,1.848673
10000,48,1.950338
10000,48,1.986399
10000,48,1.812439
10000,52,1.609445
10000,52,1.720975
10000,52,1.628882
10000,52,1.706018
10000,52,1.761982
10000,56,2.489240
10000,56,2.557529
10000,56,1.910794
10000,56,1.750770
10000,56,1.692932
10000,60,1.656986
10000,60,1.732073
10000,60,2.086922
10000,60,2.194416
10000,60,1.721223
10000,64,1.838443
10000,64,1.755246
10000,64,1.837642
10000,64,1.812819
10000,64,2.156339
20000,1,6.605505
20000,1,6.721936
20000,1,6.929411
20000,1,6.352133
20000,1,6.341190
20000,2,6.272921
20000,2,6.220000
20000,2,7.060070
20000,2,6.616061
20000,2,6.613344
20000,4,6.745056
20000,4,6.896380
20000,4,6.580228
20000,4,6.764019
20000,4,6.444539
20000,8,7.408282
20000,8,7.061312
20000,8,6.679792
20000,8,6.856715
20000,8,7.121499
20000,12,6.921025
20000,12,7.262851
20000,12,7.064467
20000,12,6.438095
20000,12,7.031896
20000,16,6.241743
20000,16,6.643789
20000,16,7.177123
20000,16,7.076355
20000,16,6.545441
20000,20,7.020903
20000,20,6.332866
20000,20,7.721691
20000,20,6.894222
20000,20,7.787110
20000,24,6.395301
20000,24,7.301045
20000,24,6.800541
20000,24,6.272798
20000,24,7.426182
20000,28,6.674434
20000,28,7.179480
20000,28,6.563733
20000,28,6.940281
20000,28,6.805322
20000,32,6.640248
20000,32,6.608800
20000,32,6.964325
20000,32,7.027029
20000,32,6.828293
20000,36,6.915932
20000,36,6.913114
20000,36,6.882888
20000,36,6.709178
20000,36,6.298703
20000,40,6.719811
20000,40,6.975084
20000,40,7.058967
20000,40,7.098207
20000,40,6.743592
20000,44,7.526546
20000,44,7.060356
20000,44,7.114629
20000,44,6.594261
20000,44,6.937474
20000,48,6.843492
20000,48,6.676710
20000,48,6.979407
20000,48,6.520608
20000,48,6.793110
20000,52,7.063025
20000,52,6.818127
20000,52,6.735897
20000,52,6.700689
20000,52,6.721363
20000,56,6.876316
20000,56,7.150736
20000,56,6.765952
20000,56,7.032475
20000,56,6.920748
20000,60,6.869133
20000,60,7.390909
20000,60,6.409164
20000,60,6.334638
20000,60,6.621994
20000,64,6.415775
20000,64,6.789321
20000,64,6.765071
20000,64,6.479711
20000,64,6.609411
