size,processes,time
10000,1,0.154675
10000,1,0.144850
10000,1,0.144356
10000,1,0.141692
10000,1,0.142227
10000,2,1.077002
10000,2,1.035410
10000,2,1.246802
10000,2,1.155413
10000,2,1.063916
10000,3,1.935512
10000,3,1.688315
10000,3,1.636584
10000,3,1.927770
10000,3,2.266271
10000,4,2.035388
10000,4,1.987497
10000,4,1.848999
10000,4,2.042057
10000,4,2.282327
10000,5,
10000,5,
10000,5,
10000,5,
10000,5,
10000,6,
10000,6,
10000,6,
10000,6,
10000,6,
10000,7,
10000,7,
10000,7,
10000,7,
10000,7,
10000,8,
10000,8,
10000,8,
10000,8,
10000,8,
10000,10,
10000,10,
10000,10,
10000,10,
10000,10,
10000,12,
10000,12,
10000,12,
10000,12,
10000,12,
10000,14,
10000,14,
10000,14,
10000,14,
10000,14,
10000,16,
10000,16,
10000,16,
10000,16,
10000,16,
20000,1,0.527490
20000,1,0.524586
20000,1,0.524026
20000,1,0.531463
20000,1,0.522826
20000,2,3.797523
20000,2,3.631259
20000,2,3.842378
20000,2,3.893612
20000,2,3.604809
20000,3,7.184643
20000,3,6.998997
20000,3,6.865462
20000,3,6.508577
20000,3,6.750006
20000,4,7.471854
20000,4,6.686430
20000,4,6.851218
20000,4,7.087128
20000,4,6.837629
20000,5,
20000,5,
20000,5,
20000,5,
20000,5,
20000,6,
20000,6,
20000,6,
20000,6,
20000,6,
20000,7,
20000,7,
20000,7,
20000,7,
20000,7,
20000,8,
20000,8,
20000,8,
20000,8,
20000,8,
20000,10,
20000,10,
20000,10,
20000,10,
20000,10,
20000,12,
20000,12,
20000,12,
20000,12,
20000,12,
20000,14,
20000,14,
20000,14,
20000,14,
20000,14,
20000,16,
20000,16,
20000,16,
20000,16,
20000,16,
