size,processes,time
20000,1,0.305327
20000,1,0.292566
20000,1,0.293071
20000,1,0.308301
20000,1,0.292994
20000,2,0.201621
20000,2,0.184688
20000,2,0.186342
20000,2,0.181966
20000,2,0.190851
20000,3,0.114063
20000,3,0.154616
20000,3,0.143905
20000,3,0.135466
20000,3,0.150849
20000,4,0.118674
20000,4,0.112098
20000,4,0.126511
20000,4,0.128005
20000,4,0.141438
20000,5,0.103957
20000,5,0.111354
20000,5,0.114829
20000,5,0.102306
20000,5,0.098824
20000,6,0.090228
20000,6,0.116101
20000,6,0.095931
20000,6,0.113814
20000,6,0.108418
20000,7,0.080753
20000,7,0.100087
20000,7,0.089118
20000,7,0.087501
20000,7,0.086956
20000,8,0.083771
20000,8,0.081532
20000,8,0.086030
20000,8,0.078114
20000,8,0.079275
20000,10,0.092897
20000,10,0.071802
20000,10,0.092968
20000,10,0.080222
20000,10,0.071188
20000,12,0.077809
20000,12,0.074648
20000,12,0.091663
20000,12,0.089869
20000,12,0.062683
20000,14,0.058642
20000,14,0.071678
20000,14,0.064243
20000,14,0.080330
20000,14,0.060201
20000,16,0.110009
20000,16,0.132241
20000,16,0.067328
20000,16,0.101497
20000,16,0.089171
