size,processes,time
10000,1,0.076276
10000,1,0.075404
10000,1,0.075067
10000,1,0.075562
10000,1,0.075395
10000,2,0.065121
10000,2,0.049671
10000,2,0.057367
10000,2,0.065000
10000,2,0.051513
10000,3,0.045608
10000,3,0.052545
10000,3,0.052616
10000,3,0.035749
10000,3,0.044304
10000,4,0.023857
10000,4,0.031573
10000,4,0.031344
10000,4,0.030647
10000,4,0.032528
10000,5,0.038345
10000,5,0.020667
10000,5,0.019610
10000,5,0.024079
10000,5,0.023980
10000,6,0.029482
10000,6,0.023713
10000,6,0.024446
10000,6,0.025514
10000,6,0.024608
10000,7,0.016502
10000,7,0.024001
10000,7,0.024050
10000,7,0.031635
10000,7,0.032255
10000,8,0.036764
10000,8,0.037349
10000,8,0.034754
10000,8,0.037071
10000,8,0.038180
10000,10,0.035707
10000,10,0.034371
10000,10,0.036114
10000,10,0.035591
10000,10,0.028824
10000,12,0.042187
10000,12,0.031506
10000,12,0.026639
10000,12,0.022649
10000,12,0.032431
10000,14,0.034034
10000,14,0.033384
10000,14,0.026689
10000,14,0.033799
10000,14,0.023936
10000,16,0.028235
10000,16,0.030875
10000,16,0.032407
10000,16,0.034360
10000,16,0.033002
20000,1,0.293994
20000,1,0.304423
20000,1,0.295267
20000,1,0.292975
20000,1,0.292515
20000,2,0.167198
20000,2,0.166617
20000,2,0.174155
20000,2,0.175308
20000,2,0.158662
20000,3,0.109775
20000,3,0.109849
20000,3,0.126155
20000,3,0.116519
20000,3,0.118371
20000,4,0.087485
20000,4,0.090080
20000,4,0.087757
20000,4,0.086530
20000,4,0.087341
20000,5,0.072700
20000,5,0.072301
20000,5,0.065868
20000,5,0.078583
20000,5,0.072821
20000,6,0.072696
20000,6,0.062718
20000,6,0.062949
20000,6,0.064243
20000,6,0.068128
20000,7,0.049197
20000,7,0.054967
20000,7,0.049184
20000,7,0.054750
20000,7,0.049027
20000,8,0.065535
20000,8,0.066558
20000,8,0.065795
20000,8,0.058907
20000,8,0.065754
20000,10,0.051088
20000,10,0.058174
20000,10,0.057983
20000,10,0.051481
20000,10,0.065109
20000,12,0.046018
20000,12,0.045588
20000,12,0.053257
20000,12,0.045937
20000,12,0.045108
20000,14,0.049766
20000,14,0.049994
20000,14,0.047563
20000,14,0.049349
20000,14,0.049925
20000,16,0.046093
20000,16,0.047277
20000,16,0.046768
20000,16,0.046224
20000,16,0.054010
