size,processes,time
10000,1,0.078567
10000,1,0.076504
10000,1,0.076888
10000,1,0.076703
10000,1,0.076041
10000,2,0.049503
10000,2,0.038409
10000,2,0.047361
10000,2,0.038952
10000,2,0.038996
10000,3,0.034603
10000,3,0.034924
10000,3,0.034277
10000,3,0.028596
10000,3,0.035610
10000,4,0.020519
10000,4,0.027844
10000,4,0.028785
10000,4,0.020475
10000,4,0.028893
10000,5,0.016393
10000,5,0.019283
10000,5,0.017037
10000,5,0.016966
10000,5,0.016939
10000,6,0.014374
10000,6,0.022689
10000,6,0.024075
10000,6,0.014327
10000,6,0.014788
10000,7,0.023255
10000,7,0.024060
10000,7,0.015023
10000,7,0.018643
10000,7,0.018049
10000,8,0.012554
10000,8,0.018955
10000,8,0.012337
10000,8,0.021217
10000,8,0.012067
10000,10,0.031287
10000,10,0.030520
10000,10,0.021652
10000,10,0.031321
10000,10,0.029224
10000,12,0.029859
10000,12,0.014770
10000,12,0.027960
10000,12,0.033615
10000,12,0.018719
10000,14,0.032572
10000,14,0.018079
10000,14,0.032634
10000,14,0.029108
10000,14,0.030262
10000,16,0.026832
10000,16,0.032061
10000,16,0.017845
10000,16,0.032065
10000,16,0.038182
20000,1,0.302686
20000,1,0.304374
20000,1,0.303412
20000,1,0.303313
20000,1,0.303375
20000,2,0.151102
20000,2,0.151154
20000,2,0.151128
20000,2,0.151366
20000,2,0.150652
20000,3,0.101813
20000,3,0.101160
20000,3,0.101004
20000,3,0.109057
20000,3,0.108439
20000,4,0.078113
20000,4,0.081004
20000,4,0.081530
20000,4,0.077992
20000,4,0.338095
20000,5,0.067435
20000,5,0.063390
20000,5,0.062135
20000,5,0.062074
20000,5,0.062599
20000,6,0.062705
20000,6,0.052096
20000,6,0.157228
20000,6,0.052570
20000,6,0.060476
20000,7,0.046036
20000,7,0.051047
20000,7,0.055695
20000,7,0.045741
20000,7,0.052135
20000,8,0.051035
20000,8,0.039602
20000,8,0.047914
20000,8,0.051610
20000,8,0.041926
20000,10,0.063245
20000,10,0.061851
20000,10,0.067769
20000,10,0.102097
20000,10,0.240169
20000,12,0.062963
20000,12,0.058601
20000,12,0.062870
20000,12,0.063780
20000,12,0.063288
20000,14,0.054950
20000,14,0.045047
20000,14,0.055804
20000,14,0.054807
20000,14,0.059907
20000,16,0.051607
20000,16,0.048096
20000,16,0.052214
20000,16,0.053283
20000,16,0.044979
