size,processes,time
20000,1,0.199482
20000,1,0.195350
20000,1,0.195206
20000,1,0.195378
20000,1,0.190886
20000,2,3.416525
20000,2,3.603121
20000,2,3.982366
20000,2,3.570325
20000,2,3.916035
20000,3,8.474681
20000,3,7.269181
20000,3,6.923559
20000,3,7.099399
20000,3,7.057864
20000,4,7.426982
20000,4,6.798465
20000,4,6.596254
20000,4,6.647997
20000,4,6.912484
20000,5,7.164686
20000,5,6.871514
20000,5,8.342077
20000,5,7.096151
20000,5,6.984682
20000,6,7.037649
20000,6,7.081803
20000,6,6.814855
20000,6,6.846952
20000,6,6.422297
20000,7,6.908278
20000,7,6.797842
20000,7,6.647118
20000,7,6.481486
20000,7,6.892420
20000,8,6.840688
20000,8,6.940649
20000,8,6.461058
20000,8,6.906669
20000,8,6.843078
20000,10,6.986232
20000,10,7.640116
20000,10,7.054284
20000,10,7.436727
20000,10,6.529839
20000,12,7.445745
20000,12,6.887990
20000,12,7.230480
20000,12,6.758112
20000,12,6.476966
20000,14,7.578556
20000,14,6.352758
20000,14,6.386486
20000,14,7.106331
20000,14,7.111485
20000,16,4.158646
20000,16,3.689686
20000,16,3.773251
20000,16,3.818479
20000,16,4.117140
