size,processes,time
10000,1,0.066861
10000,1,0.063641
10000,1,0.078667
10000,1,0.068341
10000,1,0.062596
10000,2,0.068577
10000,2,0.066768
10000,2,0.066038
10000,2,0.066632
10000,2,0.066298
10000,3,0.175790
10000,3,0.130105
10000,3,0.127138
10000,3,0.124598
10000,3,0.121572
10000,4,0.122458
10000,4,0.154132
10000,4,0.138416
10000,4,0.142522
10000,4,0.133995
10000,5,0.139471
10000,5,0.139987
10000,5,0.133674
10000,5,0.151413
10000,5,0.158181
10000,6,0.148663
10000,6,0.153263
10000,6,0.159431
10000,6,0.146580
10000,6,0.160910
10000,7,0.138316
10000,7,0.151956
10000,7,0.150115
10000,7,0.144692
10000,7,0.144694
10000,8,0.138255
10000,8,0.147702
10000,8,0.138870
10000,8,0.142589
10000,8,0.152245
10000,10,
10000,10,
10000,10,
10000,10,
10000,10,
10000,12,
10000,12,
10000,12,
10000,12,
10000,12,
10000,14,
10000,14,
10000,14,
10000,14,
10000,14,
10000,16,
10000,16,
10000,16,
10000,16,
10000,16,
20000,1,0.200707
20000,1,0.205623
20000,1,0.203598
20000,1,0.199943
20000,1,0.209552
20000,2,0.228086
20000,2,0.227855
20000,2,0.218377
20000,2,0.225815
20000,2,0.226139
20000,3,0.394785
20000,3,0.380819
20000,3,0.388787
20000,3,0.399248
20000,3,0.401494
20000,4,0.389736
20000,4,0.384276
20000,4,0.399206
20000,4,0.393925
20000,4,0.407136
20000,5,0.403703
20000,5,0.423242
20000,5,0.398745
20000,5,0.406102
20000,5,0.421639
20000,6,0.410830
20000,6,0.404803
20000,6,0.406699
20000,6,0.411434
20000,6,0.412063
20000,7,0.410955
20000,7,0.425252
20000,7,0.417120
20000,7,0.417444
20000,7,0.459749
20000,8,0.417382
20000,8,0.429495
20000,8,0.413886
20000,8,0.409322
20000,8,0.417513
20000,10,
20000,10,
20000,10,
20000,10,
20000,10,
20000,12,
20000,12,
20000,12,
20000,12,
20000,12,
20000,14,
20000,14,
20000,14,
20000,14,
20000,14,
20000,16,
20000,16,
20000,16,
20000,16,
20000,16,
