size,processes,time
10000,1,0.071848
10000,1,0.069522
10000,1,0.083789
10000,1,0.075886
10000,1,0.061428
10000,2,0.072456
10000,2,0.075210
10000,2,0.074581
10000,2,0.074312
10000,2,0.192568
10000,3,0.121902
10000,3,0.125373
10000,3,0.193691
10000,3,0.137711
10000,3,0.130206
10000,4,0.145268
10000,4,0.147279
10000,4,0.144694
10000,4,0.139141
10000,4,0.138292
10000,5,0.136380
10000,5,0.134448
10000,5,0.138161
10000,5,0.143105
10000,5,0.183683
10000,6,0.143437
10000,6,0.159975
10000,6,0.140117
10000,6,0.201647
10000,6,0.186852
10000,7,0.156570
10000,7,0.387841
10000,7,0.140181
10000,7,0.407112
10000,7,0.140215
10000,8,0.147952
10000,8,0.234637
10000,8,0.137802
10000,8,0.167651
10000,8,0.146770
10000,10,1.896755
10000,10,1.847705
10000,10,1.755113
10000,10,1.671770
10000,10,2.310703
10000,12,1.681834
10000,12,1.883231
10000,12,1.871825
10000,12,2.074456
10000,12,2.544554
10000,14,2.179205
10000,14,1.787957
10000,14,2.122643
10000,14,1.804132
10000,14,1.809689
10000,16,1.069500
10000,16,1.011995
10000,16,1.235130
10000,16,1.777139
10000,16,1.316195
20000,1,0.202036
20000,1,0.204317
20000,1,0.201503
20000,1,0.203692
20000,1,0.200871
20000,2,0.228767
20000,2,0.225849
20000,2,0.231520
20000,2,0.223254
20000,2,0.222273
20000,3,0.426521
20000,3,0.417806
20000,3,0.388962
20000,3,0.391175
20000,3,0.399135
20000,4,0.397192
20000,4,0.411314
20000,4,0.438303
20000,4,0.417798
20000,4,0.396687
20000,5,0.409415
20000,5,0.401457
20000,5,0.404469
20000,5,0.400496
20000,5,0.425822
20000,6,0.396129
20000,6,0.497328
20000,6,0.409439
20000,6,0.408500
20000,6,0.407695
20000,7,0.424608
20000,7,0.420405
20000,7,0.417651
20000,7,0.441129
20000,7,0.426076
20000,8,0.411008
20000,8,0.416914
20000,8,0.412188
20000,8,0.413364
20000,8,0.411480
20000,10,6.777351
20000,10,6.550826
20000,10,6.372144
20000,10,7.262284
20000,10,7.374842
20000,12,6.782022
20000,12,6.942301
20000,12,7.015701
20000,12,6.961330
20000,12,6.739785
20000,14,6.629660
20000,14,6.570120
20000,14,6.564850
20000,14,6.488034
20000,14,7.466357
20000,16,3.997785
20000,16,4.068053
20000,16,4.272232
20000,16,3.998844
20000,16,3.934093
