size,processes,time
10000,1,0.095454
10000,1,0.118570
10000,1,0.093865
10000,1,0.094094
10000,1,0.094517
14142,2,1.814803
14142,2,1.888937
14142,2,2.537802
14142,2,1.965558
14142,2,2.022214
17320,3,6.093791
17320,3,5.159659
17320,3,6.248542
17320,3,5.351227
17320,3,5.043812
20000,4,6.952549
20000,4,6.891334
20000,4,6.653950
20000,4,7.002768
20000,4,8.094141
22360,5,8.894593
22360,5,8.320330
22360,5,8.831916
22360,5,8.552125
22360,5,8.985578
24494,6,10.852306
24494,6,11.078756
24494,6,10.725448
24494,6,11.244074
24494,6,11.021990
