Size,Time,GFLOPS
2000,0.209891,76.230166
2000,0.042102,380.032287
2000,0.040521,394.854435
2000,0.041537,385.202392
2000,0.040063,399.366585
3000,0.081248,664.634870
3000,0.080857,667.842201
3000,0.080103,674.132392
3000,0.082296,656.164989
3000,0.081702,660.938792
4000,0.194036,659.672941
4000,0.207684,616.321302
4000,0.198820,643.797174
4000,0.214567,596.551085
4000,0.203066,630.337630
5000,0.429151,582.546104
5000,0.431833,578.927765
5000,0.429464,582.120606
5000,0.428592,583.305220
5000,0.427504,584.789816
6000,0.770380,560.762485
6000,0.765673,564.209614
6000,0.767957,562.531275
6000,0.760175,568.289917
6000,0.761669,567.175802
7000,1.234026,555.903808
7000,1.227872,558.690175
7000,1.236959,554.586095
7000,1.241545,552.537198
7000,1.234751,555.577753
8000,1.802624,568.060778
8000,1.809426,565.925175
8000,1.797095,569.808506
8000,1.798395,569.396522
8000,1.800643,568.685860
9000,2.526843,577.004634
9000,2.513278,580.118865
9000,2.529242,576.457370
9000,2.513295,580.114895
9000,2.513261,580.122816
10000,3.467311,576.815801
10000,3.465307,577.149363
10000,3.467688,576.753209
10000,3.473773,575.742869
10000,3.462563,577.606775
11000,4.501053,591.417227
11000,4.522719,588.583931
11000,4.516807,589.354419
11000,3.380396,787.481697
11000,4.508271,590.470334
12000,5.513491,626.826122
12000,5.508131,627.436057
12000,4.458521,775.144917
12000,4.016426,860.466588
12000,4.020555,859.582901
13000,6.674377,658.338625
13000,6.692007,656.604238
13000,6.688677,656.931075
13000,7.498281,586.000978
13000,6.671917,658.581347
14000,9.104492,602.779391
14000,9.108886,602.488592
14000,9.117686,601.907095
14000,9.135816,600.712623
14000,9.118194,601.873578
15000,10.900983,619.210238
15000,10.952247,616.311890
15000,10.936157,617.218631
15000,11.355365,594.432658
15000,10.892515,619.691580
16000,13.530543,605.445020
16000,13.552993,604.442140
16000,11.093886,738.424717
16000,11.100496,737.985037
16000,11.074394,739.724459
17000,15.433627,636.661744
17000,15.265297,643.682220
17000,15.521945,633.039205
17000,15.487844,634.433041
17000,15.473032,635.040357
18000,14.281346,816.729760
18000,16.638746,701.014384
18000,18.447877,632.267888
18000,18.420611,633.203765
18000,16.762902,695.822240
19000,20.422147,671.721744
19000,18.963555,723.387557
19000,17.210898,797.053127
19000,21.551380,636.525353
19000,17.116927,801.428916
20000,18.029809,887.419296
20000,17.917949,892.959326
20000,18.004871,888.648433
20000,22.513817,710.674683
20000,16.342830,979.022585
