Size,Time,GFLOPS
2000,0.161880,98.838570
2000,0.040851,391.670423
2000,0.040737,392.765698
2000,0.039430,405.784828
2000,0.040155,398.456053
3000,0.080801,668.306973
3000,0.080056,674.526878
3000,0.079706,677.491177
3000,0.079099,682.690284
3000,0.081056,666.205348
4000,0.208845,612.895458
4000,0.201058,636.630930
4000,0.202678,631.542796
4000,0.202128,633.261869
4000,0.206047,621.218059
5000,0.425006,588.226760
5000,0.422798,591.298690
5000,0.425038,588.183389
5000,0.432110,578.556420
5000,0.427234,585.159566
6000,0.767306,563.008859
6000,0.759026,569.150492
6000,0.765061,564.661123
6000,0.761876,567.021410
6000,0.762468,566.580881
7000,1.230018,557.715275
7000,1.233082,556.329739
7000,1.228180,558.549962
7000,1.233743,556.031457
7000,1.226649,559.247355
8000,1.804044,567.613544
8000,1.809311,565.961182
8000,1.797576,569.656129
8000,1.805583,567.129776
8000,1.800547,568.716040
9000,2.525895,577.221140
9000,2.523259,577.824130
9000,2.526025,577.191457
9000,2.531600,575.920465
9000,2.513946,579.964705
10000,3.480580,574.616895
10000,3.461202,577.833876
10000,3.479421,574.808292
10000,3.484156,574.027123
10000,3.457814,578.400192
11000,4.500633,591.472357
11000,4.513637,589.768324
11000,4.507687,590.546778
11000,4.489417,592.950034
11000,4.503463,591.100642
12000,5.332043,648.156858
12000,5.514687,626.690185
12000,5.518235,626.287211
12000,5.502527,628.075077
12000,5.354268,645.466335
13000,6.654649,660.290320
13000,6.664247,659.339324
13000,6.641194,661.628026
13000,6.693977,656.410965
13000,6.670208,658.750109
14000,9.084147,604.129369
14000,9.116810,601.964927
14000,9.111249,602.332317
14000,9.105760,602.695408
14000,9.100977,603.012157
15000,10.922018,618.017670
15000,10.928579,617.646610
15000,10.891678,619.739227
15000,10.960148,615.867623
15000,10.919824,618.141832
16000,13.501904,606.729258
16000,13.027867,628.805942
16000,9.112770,898.958289
16000,9.064685,903.726971
16000,8.416155,973.366141
17000,15.516204,633.273451
17000,15.535648,632.480874
17000,15.450961,635.947516
17000,15.517214,633.232209
17000,15.476084,634.915119
18000,18.415601,633.376033
18000,18.537181,629.221872
18000,18.213263,640.412429
18000,18.367621,635.030514
18000,18.399573,633.927763
19000,17.513442,783.284044
19000,20.357215,673.864273
19000,19.927779,688.385780
19000,21.544281,636.735108
19000,19.847476,691.171005
20000,15.312154,1044.921577
20000,20.951123,763.682202
20000,22.611054,707.618502
20000,15.074462,1061.397759
20000,21.496922,744.292614
