Size,Time,GFLOPS
2000,0.254948,62.757894
2000,0.020792,769.537770
2000,0.020715,772.396518
2000,0.020069,797.242815
2000,0.020205,791.867403
3000,0.036742,1469.691891
3000,0.036236,1490.236632
3000,0.036707,1471.095827
3000,0.036879,1464.260215
3000,0.035734,1511.158394
4000,0.061619,2077.286078
4000,0.060170,2127.308618
4000,0.063126,2027.689237
4000,0.062062,2062.452346
4000,0.061224,2090.679465
5000,0.105923,2360.199640
5000,0.103832,2407.742066
5000,0.110671,2258.955326
5000,0.106606,2345.091686
5000,0.107694,2321.394377
6000,0.227972,1894.967563
6000,0.221087,1953.982394
6000,0.217122,1989.666639
6000,0.232227,1860.251332
6000,0.225504,1915.711446
7000,0.472297,1452.475943
7000,0.472751,1451.081661
7000,0.474529,1445.645081
7000,0.483436,1419.007751
7000,0.459972,1491.393767
8000,0.811135,1262.428711
8000,0.806234,1270.101970
8000,0.804459,1272.905824
8000,0.801617,1277.418352
8000,0.800540,1279.136961
9000,1.172707,1243.277737
9000,1.154380,1263.016015
9000,1.202890,1212.081027
9000,1.191209,1223.966662
9000,1.146456,1271.745037
10000,1.584629,1262.125381
10000,1.580034,1265.795287
10000,1.554211,1286.826775
10000,1.546756,1293.028919
10000,1.535307,1302.671271
11000,2.050876,1297.982217
11000,2.061537,1291.269743
11000,2.046382,1300.832245
11000,2.050216,1298.399751
11000,2.042154,1303.525479
12000,2.602832,1327.784549
12000,2.609766,1324.256570
12000,2.607001,1325.661154
12000,2.603159,1327.617664
12000,2.596753,1330.893082
13000,3.300359,1331.370227
13000,3.064727,1433.733062
13000,3.285581,1337.358743
13000,3.081023,1426.149867
13000,3.293505,1334.141056
14000,4.050144,1355.013501
14000,4.072771,1347.485660
14000,4.048635,1355.518680
14000,3.123111,1757.221927
14000,3.115461,1761.537247
15000,4.894154,1379.196484
15000,4.903755,1376.496234
15000,4.901829,1377.037099
15000,4.926277,1370.203106
15000,4.925469,1370.427829
16000,5.881821,1392.766047
16000,5.848662,1400.662235
16000,6.022837,1360.156430
16000,6.018085,1361.230259
16000,6.044984,1355.173224
17000,7.128254,1378.458107
17000,7.171647,1370.117628
17000,7.171939,1370.061777
17000,7.131003,1377.926826
17000,7.123282,1379.420344
18000,7.505355,1554.090422
18000,7.288011,1600.436627
18000,7.567296,1541.369612
18000,7.595825,1535.580488
18000,7.471319,1561.170063
19000,8.739095,1569.727811
19000,8.692892,1578.071000
19000,6.489947,2113.730671
19000,6.784684,2021.907117
19000,8.727392,1571.832602
20000,11.479926,1393.737165
20000,9.740077,1642.697498
20000,11.454558,1396.823918
20000,10.104060,1583.521894
20000,11.129652,1437.601111
