Size,Time,GFLOPS
2000,0.025596,625.099894
2000,0.029533,541.775734
2000,0.027353,584.943995
2000,0.026611,601.261808
2000,0.028221,566.954591
3000,0.086760,622.403138
3000,0.088768,608.326263
3000,0.094613,570.743371
3000,0.062284,867.000390
3000,0.086369,625.225385
4000,0.149274,857.481836
4000,0.139056,920.494132
4000,0.123534,1036.152854
4000,0.140667,909.952255
4000,0.153045,836.355080
5000,0.230832,1083.038432
5000,0.255647,977.911866
5000,0.241315,1035.989341
5000,0.289197,864.462477
5000,0.224710,1112.544910
6000,0.374141,1154.644342
6000,0.390896,1105.153046
6000,0.382148,1130.452029
6000,0.391752,1102.739393
6000,0.340839,1267.462245
7000,0.557598,1230.276915
7000,0.548278,1251.189848
7000,0.505907,1355.980683
7000,0.516770,1327.475919
7000,0.538107,1274.839168
8000,0.758696,1349.684396
8000,0.750463,1364.490268
8000,0.737340,1388.775913
8000,0.774548,1322.061518
8000,0.728536,1405.558466
9000,1.032668,1411.877287
9000,1.042061,1399.150375
9000,1.045047,1395.152675
9000,1.026336,1420.586896
9000,1.039153,1403.065743
10000,1.380106,1449.164458
10000,1.418313,1410.125960
10000,1.361789,1468.656189
10000,1.421193,1407.268264
10000,1.326684,1507.517898
11000,1.864275,1427.900830
11000,1.725517,1542.726323
11000,1.833998,1451.473409
11000,1.886830,1410.831824
11000,1.889067,1409.160937
12000,2.423797,1425.861848
12000,2.364537,1461.596630
12000,2.311413,1495.189560
12000,2.301540,1501.603220
12000,2.190110,1578.002602
13000,2.931800,1498.738025
13000,2.911284,1509.299544
13000,2.877855,1526.831867
13000,2.914262,1507.757272
13000,2.944886,1492.078320
14000,3.531730,1553.912670
14000,3.551207,1545.390168
14000,3.573157,1535.896535
14000,3.602472,1523.398224
14000,3.614345,1518.393937
15000,4.338304,1555.907393
15000,4.359628,1548.297362
15000,4.396054,1535.468114
15000,4.330706,1558.637460
15000,4.421680,1526.569165
16000,5.001813,1637.806002
16000,5.035147,1626.963520
16000,5.061231,1618.578524
16000,5.036105,1626.653887
16000,5.160565,1587.422952
17000,6.056433,1622.407141
17000,6.284016,1563.649651
17000,6.172105,1592.001367
17000,6.173520,1591.636413
17000,5.948449,1651.859137
18000,7.235944,1611.952720
18000,7.138949,1633.853955
18000,7.253026,1608.156383
18000,7.200595,1619.866097
18000,7.266994,1605.065422
19000,8.293630,1654.040589
19000,8.106200,1692.284875
19000,8.123481,1688.684949
19000,8.141711,1684.903767
19000,8.104467,1692.646769
20000,9.418417,1698.799205
20000,9.590775,1668.269704
20000,9.423676,1697.851240
20000,9.586005,1669.099876
20000,9.508356,1682.730413
