Size,Time,GFLOPS
2000,0.038629,414.193414
2000,0.028599,559.456698
2000,0.029467,542.980025
2000,0.031360,510.198957
2000,0.033595,476.260824
3000,0.083705,645.122013
3000,0.079327,680.729436
3000,0.391640,137.881697
3000,0.079199,681.826438
3000,0.081893,659.400271
4000,0.144110,888.210993
4000,0.124312,1029.663752
4000,0.123463,1036.750681
4000,0.126141,1014.737565
4000,0.143509,891.929265
5000,0.282423,885.198055
5000,0.261224,957.033612
5000,0.260038,961.399506
5000,0.240562,1039.233021
5000,0.268951,929.537752
6000,0.375459,1150.590588
6000,0.388252,1112.680374
6000,0.343901,1256.176240
6000,0.348129,1240.917881
6000,0.347327,1243.786369
7000,0.492616,1392.566045
7000,0.532807,1287.521738
7000,0.543496,1262.198463
7000,0.528283,1298.546571
7000,0.520010,1319.205458
8000,0.721593,1419.083303
8000,0.714570,1433.030266
8000,0.724986,1412.441637
8000,0.757047,1352.623295
8000,0.706137,1450.143051
9000,1.021045,1427.948988
9000,0.997457,1461.717340
9000,0.992199,1469.463443
9000,1.015386,1435.907799
9000,0.998973,1459.498989
10000,1.278845,1563.911605
10000,1.322050,1512.801575
10000,1.309666,1527.107460
10000,1.278881,1563.867519
10000,1.287251,1553.698332
11000,1.695487,1570.050606
11000,1.698023,1567.705715
11000,1.695438,1570.095962
11000,1.828270,1456.021054
11000,1.693594,1571.805517
12000,2.394041,1443.584169
12000,2.183885,1582.500614
12000,2.175279,1588.761405
12000,2.348786,1471.398278
12000,2.373806,1455.889876
13000,2.656976,1653.759583
13000,2.841988,1546.100830
13000,2.873588,1529.098807
13000,2.654857,1655.079519
13000,2.800983,1568.735144
14000,3.684056,1489.662681
14000,3.609652,1520.368095
14000,3.487589,1573.580035
14000,3.315662,1655.174965
14000,3.462958,1584.772532
15000,4.315707,1564.054418
15000,4.303234,1568.587571
15000,4.358304,1548.767691
15000,4.443728,1518.994876
15000,4.110516,1642.129592
16000,5.055689,1620.352785
16000,4.923711,1663.785681
16000,4.997667,1639.164776
16000,5.077192,1613.490407
16000,4.910838,1668.147104
17000,6.082856,1615.359634
17000,6.109007,1608.444780
17000,6.041823,1626.330328
17000,6.013060,1634.109706
17000,5.911802,1662.099002
18000,7.033603,1658.325037
18000,7.141271,1633.322757
18000,7.103645,1641.974006
18000,6.976147,1671.983113
18000,7.123059,1637.498829
19000,8.071001,1699.665255
19000,8.090146,1695.643116
19000,8.265350,1659.699856
19000,8.262090,1660.354613
19000,8.006296,1713.401454
20000,9.527461,1679.356164
20000,9.345933,1711.974620
20000,9.365520,1708.394148
20000,9.346687,1711.836569
20000,9.344845,1712.173843
