Size,Time,GFLOPS
2000,0.023471,681.693260
2000,0.026713,598.963905
2000,0.023670,675.962560
2000,0.024061,664.984201
2000,0.023566,678.950177
3000,0.053496,1009.425888
3000,0.055573,971.686775
3000,0.054223,995.878520
3000,0.053643,1006.657004
3000,0.053586,1007.727478
4000,0.106951,1196.811723
4000,0.106255,1204.650361
4000,0.107163,1194.439325
4000,0.107728,1188.174842
4000,0.124980,1024.161088
5000,0.173793,1438.495072
5000,0.176727,1414.609724
5000,0.175520,1424.335706
5000,0.176947,1412.848476
5000,0.175813,1421.963216
6000,0.276921,1560.013644
6000,0.273743,1578.122747
6000,0.274619,1573.087588
6000,0.276079,1564.770547
6000,0.275142,1570.095935
7000,0.415973,1649.146330
7000,0.411787,1665.909633
7000,0.423769,1618.807198
7000,0.418996,1637.245414
7000,0.420596,1631.018960
8000,0.599750,1707.378817
8000,0.593813,1724.447247
8000,0.608363,1683.204839
8000,0.605776,1690.394959
8000,0.595397,1719.861363
9000,0.826949,1763.106600
9000,0.833739,1748.748254
9000,0.821419,1774.976873
9000,0.842746,1730.058769
9000,0.836379,1743.229608
10000,1.131672,1767.296095
10000,1.133050,1765.147256
10000,1.124012,1779.339937
10000,1.143034,1749.728635
10000,1.120498,1784.920215
11000,1.628460,1634.673208
11000,1.609397,1654.035596
11000,1.603307,1660.318412
11000,1.614038,1649.279994
11000,1.614941,1648.357901
12000,1.897932,1820.929316
12000,1.899838,1819.102935
12000,1.887928,1830.577898
12000,1.875443,1842.764532
12000,1.872487,1845.673910
13000,2.344766,1873.961135
13000,2.609373,1683.929563
13000,2.570380,1709.474719
13000,2.356299,1864.789037
13000,2.365792,1857.305850
14000,3.263837,1681.456531
14000,2.988593,1836.315640
14000,3.218839,1704.962333
14000,3.249934,1688.649571
14000,3.248893,1689.190900
15000,3.619199,1865.053792
15000,3.654545,1847.015338
15000,3.691243,1828.652341
15000,4.016507,1680.564871
15000,4.027414,1676.013539
16000,4.559718,1796.602202
16000,4.487004,1825.717198
16000,4.487666,1825.447795
16000,4.826478,1697.303860
16000,4.797153,1707.679693
17000,5.679841,1729.977892
17000,5.735792,1713.102418
17000,5.759389,1706.083638
17000,5.570941,1763.795460
17000,5.583126,1759.945904
18000,6.542341,1782.848148
18000,6.645754,1755.105595
18000,6.481621,1799.549904
18000,6.808027,1713.271738
18000,6.739030,1730.812812
19000,7.576365,1810.630755
19000,7.576782,1810.531223
19000,7.569545,1812.262187
19000,7.944569,1726.714285
19000,7.908240,1734.646444
20000,8.943871,1788.934654
20000,9.096020,1759.011145
20000,8.851714,1807.559511
20000,9.275873,1724.905093
20000,8.798913,1818.406372
