Size,Time,GFLOPS
2000,0.014257,1122.246524
2000,0.014010,1142.018249
2000,0.014067,1137.448413
2000,0.013653,1171.877432
2000,0.013880,1152.731773
3000,0.028584,1889.154953
3000,0.029136,1853.354302
3000,0.028307,1907.630483
3000,0.027616,1955.391579
3000,0.028722,1880.123140
4000,0.050925,2513.475814
4000,0.049580,2581.683352
4000,0.049290,2596.897868
4000,0.049651,2578.000684
4000,0.049896,2565.320063
5000,0.083293,3001.440055
5000,0.082040,3047.302806
5000,0.082042,3047.229188
5000,0.081465,3068.791365
5000,0.081161,3080.292405
6000,0.128474,3362.551310
6000,0.127832,3379.424538
6000,0.126605,3412.181098
6000,0.127210,3395.961306
6000,0.127064,3399.858624
7000,0.194977,3518.360727
7000,0.200253,3425.670569
7000,0.197216,3478.423393
7000,0.198134,3462.296475
7000,0.195484,3509.231553
8000,0.293199,3492.510073
8000,0.294082,3482.019748
8000,0.288860,3544.969747
8000,0.284801,3595.495935
8000,0.292702,3498.438386
9000,0.403514,3613.260998
9000,0.400917,3636.658623
9000,0.405706,3593.733230
9000,0.408022,3573.335383
9000,0.409081,3564.085398
10000,0.548236,3648.063500
10000,0.531318,3764.222340
10000,0.539777,3705.231391
10000,0.539878,3704.539379
10000,0.537058,3723.990612
11000,0.706711,3766.742978
11000,0.696696,3820.893737
11000,0.716045,3717.645952
11000,0.700644,3799.360271
11000,0.710729,3745.449267
12000,0.897517,3850.621748
12000,0.922043,3748.198071
12000,0.898287,3847.321556
12000,0.910345,3796.362734
12000,0.920208,3755.670590
13000,1.159713,3788.867162
13000,1.173310,3744.962417
13000,1.167627,3763.189665
13000,1.182899,3714.601440
13000,1.165335,3770.590647
14000,1.434682,3825.238677
14000,1.434509,3825.698025
14000,1.430865,3835.441954
14000,1.450509,3783.499703
14000,1.444656,3798.829377
15000,1.751013,3854.912088
15000,1.729752,3902.294478
15000,1.745200,3867.750477
15000,1.751449,3853.952593
15000,1.734470,3891.678181
16000,2.092779,3914.412008
16000,2.062052,3972.740864
16000,2.071451,3954.716171
16000,2.104776,3892.100996
16000,2.099870,3901.194537
17000,2.555877,3844.472552
17000,2.537049,3873.004029
17000,2.521681,3896.606462
17000,2.531566,3881.391584
17000,2.519599,3899.826395
18000,3.048665,3825.937341
18000,2.965629,3933.061453
18000,3.183105,3664.346901
18000,3.000951,3886.767851
18000,2.954052,3948.474232
19000,3.547560,3866.883573
19000,3.579078,3832.830454
19000,3.859652,3554.206599
19000,3.582845,3828.801279
19000,3.615044,3794.697689
20000,4.226762,3785.403935
20000,4.167550,3839.186518
20000,4.244056,3769.978620
20000,4.210740,3799.807607
20000,4.171633,3835.428042
