Size,Time,GFLOPS
2000,0.141506,113.069391
2000,0.031296,511.239880
2000,0.032088,498.636323
2000,0.030764,520.086589
2000,0.030070,532.087928
3000,0.065346,826.373825
3000,0.064557,836.468477
3000,0.064046,843.138975
3000,0.065541,823.912718
3000,0.065128,829.137463
4000,0.117033,1093.704584
4000,0.118967,1075.925860
4000,0.119452,1071.557424
4000,0.119369,1072.307145
4000,0.117987,1084.863047
5000,0.201221,1242.416970
5000,0.200165,1248.970861
5000,0.203585,1227.989474
5000,0.202414,1235.093722
5000,0.200502,1246.870250
6000,0.330027,1308.982200
6000,0.321863,1342.184110
6000,0.328647,1314.480526
6000,0.330014,1309.036306
6000,0.332631,1298.734700
7000,0.503514,1362.425576
7000,0.503525,1362.393973
7000,0.504896,1358.694745
7000,0.503918,1361.332763
7000,0.499774,1372.620971
8000,0.725848,1410.764364
8000,0.721842,1418.593216
8000,0.728933,1404.792253
8000,0.713897,1434.381526
8000,0.717645,1426.888347
9000,0.992234,1469.411206
9000,0.991642,1470.289189
9000,0.993679,1467.275151
9000,1.009324,1444.530846
9000,1.010312,1443.119231
10000,1.352310,1478.951351
10000,1.357210,1473.611352
10000,1.351538,1479.795499
10000,1.366173,1463.943150
10000,1.352189,1479.083593
11000,1.823335,1459.962500
11000,1.825492,1458.236932
11000,1.816403,1465.533404
11000,1.837433,1448.760545
11000,1.807885,1472.438791
12000,2.253769,1533.431019
12000,2.290254,1509.003002
12000,2.305397,1499.090880
12000,2.279349,1516.222496
12000,2.288325,1510.274935
13000,2.933867,1497.682127
13000,2.947939,1490.532868
13000,2.945457,1491.789127
13000,2.941940,1493.572445
13000,2.914634,1507.564793
14000,3.568976,1537.696159
14000,3.561541,1540.905949
14000,3.554818,1543.820358
14000,3.574209,1535.444625
14000,3.582587,1531.853732
15000,4.422110,1526.420667
15000,4.410348,1530.491603
15000,4.432834,1522.727760
15000,4.396181,1535.423521
15000,4.464551,1511.910004
16000,5.219219,1569.583532
16000,5.222920,1568.471302
16000,5.202557,1574.610318
16000,5.221934,1568.767431
16000,5.233757,1565.223506
17000,6.304310,1558.616219
17000,6.297508,1560.299810
17000,6.269241,1567.334922
17000,6.316109,1555.704631
17000,6.294803,1560.970108
18000,7.449960,1565.646078
18000,7.451597,1565.302050
18000,7.480122,1559.332884
18000,7.335010,1590.181831
18000,7.429898,1569.873454
19000,8.738716,1569.795817
19000,8.754405,1566.982581
19000,8.842709,1551.334484
19000,8.777147,1562.922391
19000,8.776990,1562.950466
20000,10.001966,1599.685554
20000,9.957617,1606.810133
20000,9.992371,1601.221504
20000,10.007487,1598.803049
20000,10.017383,1597.223500
