Size,Time,GFLOPS
2000,0.243161,65.800003
2000,0.016778,953.607928
2000,0.017610,908.561775
2000,0.016482,970.732418
2000,0.016446,972.855744
3000,0.032357,1668.881076
3000,0.033151,1628.908370
3000,0.032368,1668.329847
3000,0.032119,1681.224567
3000,0.032423,1665.486844
4000,0.056134,2280.253161
4000,0.054809,2335.362934
4000,0.054863,2333.091542
4000,0.056262,2275.088161
4000,0.055380,2311.304721
5000,0.096786,2583.014095
5000,0.097507,2563.921275
5000,0.099788,2505.308674
5000,0.097745,2557.672471
5000,0.097923,2553.017676
6000,0.156933,2752.764596
6000,0.160109,2698.159889
6000,0.162267,2662.283792
6000,0.161645,2672.518261
6000,0.162032,2666.143197
7000,0.256624,2673.171280
7000,0.256362,2675.902300
7000,0.256132,2678.308861
7000,0.256942,2669.865524
7000,0.258003,2658.883543
8000,0.387193,2644.674429
8000,0.388400,2636.459460
8000,0.387097,2645.333177
8000,0.389266,2630.594320
8000,0.383398,2670.852574
9000,0.567960,2567.081940
9000,0.564183,2584.267522
9000,0.562325,2592.808749
9000,0.562377,2592.566419
9000,0.571006,2553.387256
10000,0.770329,2596.294883
10000,0.767319,2606.477027
10000,0.762022,2624.595865
10000,0.767479,2605.935014
10000,0.766938,2607.772024
11000,1.017010,2617.475864
11000,1.012917,2628.052292
11000,1.010630,2634.001801
11000,1.015903,2620.328007
11000,1.013159,2627.426553
12000,1.257173,2749.024864
12000,1.252754,2758.721618
12000,1.256489,2750.521806
12000,1.259442,2744.071577
12000,1.253282,2757.560361
13000,1.617227,2716.997084
13000,1.617216,2717.014316
13000,1.617890,2715.883506
13000,1.616536,2718.158140
13000,1.614898,2720.914669
14000,1.965625,2791.986678
14000,1.969663,2786.263069
14000,1.982175,2768.675351
14000,1.971992,2782.973131
14000,1.980198,2771.440728
15000,2.430131,2777.628213
15000,2.478975,2722.900031
15000,2.456614,2747.684457
15000,2.451760,2753.124050
15000,2.488131,2712.879919
16000,2.949409,2777.505494
16000,2.965235,2762.681737
16000,2.923957,2801.683017
16000,2.946052,2780.670489
16000,2.949607,2777.319614
17000,3.546991,2770.235397
17000,3.556131,2763.115232
17000,3.552668,2765.808608
17000,3.564198,2756.861472
17000,3.559890,2760.197853
18000,4.199893,2777.213880
18000,4.153933,2807.941427
18000,4.228449,2758.458389
18000,4.171541,2796.089112
18000,4.156967,2805.892113
19000,4.943303,2775.067579
19000,4.951234,2770.622482
19000,4.982504,2753.234234
19000,4.965418,2762.708014
19000,4.996359,2745.599199
20000,5.823958,2747.272500
20000,5.758140,2778.675006
20000,5.824962,2746.799123
20000,5.789080,2763.824265
20000,5.863284,2728.846384
