Size,Time,GFLOPS
2000,0.041101,389.284771
2000,0.011600,1379.339359
2000,0.011624,1376.410035
2000,0.011735,1363.482313
2000,0.011344,1410.488836
3000,0.030291,1782.705734
3000,0.030702,1758.845765
3000,0.035980,1500.828290
3000,0.029856,1808.679370
3000,0.034557,1562.617875
4000,0.064454,1985.915546
4000,0.065927,1941.536925
4000,0.063697,2009.506914
4000,0.064185,1994.239359
4000,0.063811,2005.936066
5000,0.106181,2354.462259
5000,0.105509,2369.465483
5000,0.107449,2326.685716
5000,0.107555,2324.398136
5000,0.106754,2341.835849
6000,0.162454,2659.211665
6000,0.162073,2665.457832
6000,0.162227,2662.938815
6000,0.174130,2480.901352
6000,0.161371,2677.068068
7000,0.242497,2828.904849
7000,0.238735,2873.484776
7000,0.241709,2838.124186
7000,0.238273,2879.048906
7000,0.238301,2878.713002
8000,0.337256,3036.273127
8000,0.330060,3102.464743
8000,0.330072,3102.354958
8000,0.331945,3084.844667
8000,0.329258,3110.025023
9000,0.474367,3073.571259
9000,0.477215,3055.227410
9000,0.473228,3080.967880
9000,0.476850,3057.562079
9000,0.479003,3043.823645
10000,0.621169,3219.735505
10000,0.601974,3322.404704
10000,0.618001,3236.239796
10000,0.622969,3210.431364
10000,0.605505,3303.026289
11000,0.769512,3459.335303
11000,0.772576,3445.613691
11000,0.775864,3431.013515
11000,0.788675,3375.281472
11000,0.777850,3422.252843
12000,0.988385,3496.613650
12000,0.990201,3490.201186
12000,0.991176,3486.766154
12000,0.990633,3488.677933
12000,0.992008,3483.844291
13000,1.264921,3473.735610
13000,1.324297,3317.986879
13000,1.298783,3383.166988
13000,1.260007,3487.281245
13000,1.341393,3275.699478
14000,1.515854,3620.402149
14000,1.611704,3405.091834
14000,1.530130,3586.623195
14000,1.740456,3153.196280
14000,1.508988,3636.874645
15000,1.904386,3544.449264
15000,1.911248,3531.723660
15000,1.904643,3543.971430
15000,1.912217,3529.933584
15000,1.899111,3554.295272
16000,2.279522,3593.736234
16000,2.545708,3217.965076
16000,2.557087,3203.644926
16000,2.294534,3570.224097
16000,2.473593,3311.782265
17000,2.811606,3494.799800
17000,2.720717,3611.547677
17000,2.675670,3672.350933
17000,2.710980,3624.519644
17000,2.848607,3449.405622
18000,3.372418,3458.645524
18000,3.322093,3511.039552
18000,3.392590,3438.080905
18000,3.180371,3667.497040
18000,3.419346,3411.178500
19000,3.842824,3569.770177
19000,3.847363,3565.559341
19000,4.007675,3422.932155
19000,4.000836,3428.782965
19000,3.786968,3622.422907
20000,4.346251,3681.333987
20000,4.281726,3736.810812
20000,4.409231,3628.750979
20000,4.309589,3712.651238
20000,4.275617,3742.149609
